id,D,orbit_size,weight,distances_to_q00_base,vertices,exact_distance_edges,incompatible_pairs,vertex_sha256,base5_signature
f00,3,4,2,2-4-4-4,428,38076,12288,f3104ed045fc4d75c724dbc2339118fa0c409db0a06b16e41cfad85e0e00a499,0-0-2-0-2-0-0-1-2-0-0-1-1-0-0-2
f01,5,24,2,2-4-4-6,416,35844,11316,132572b5070a499faa498f88d5052b311a374d76e396da6c3be49d7d7f3a3b3a,0-0-1-1-2-0-0-1-2-0-0-1-0-1-0-2
f02,12,12,2,2-4-6-6,400,32994,10348,d33472ea4568c72098042366bb48eefe9ebe08ec359f93dc84bf91bedde3e856,0-0-0-2-2-0-0-1-2-0-1-0-0-1-0-2
f03,17,48,2,2-4-6-6,400,32973,10222,0c9315bd339786477041409b805d413932850489a3e8b14e34f36b43f56ae362,0-0-1-1-1-1-0-1-2-0-0-1-1-0-0-2
f04,77,8,4,4-4-4-4,404,33684,10260,77b04259ac17ee5c7c170240ab937d6cf5078f753761e30217502b41fc79f30a,0-0-1-1-2-0-1-0-2-0-1-0-0-1-0-2
f05,80,24,2,2-6-6-6,380,29607,9180,a1692fa29dd6c502c56b3cb9edc4e3a96a06f93b1ed337b67b47ac743183572d,0-0-0-2-1-1-1-0-2-0-0-1-1-0-0-2
f06,85,48,4,4-4-4-6,391,31432,9607,8de6c396482d682115dffac644386bcbd2e6a10a12cce16a348e24a6f5752b1b,0-0-1-1-1-1-1-0-2-0-0-1-0-1-0-2
f07,92,24,4,4-4-6-6,374,28609,8784,3c87f04afef7c20302d712648accc650025d6fb74ebf93e3ed2891ad3a40b256,0-0-0-2-1-1-1-0-2-0-1-0-0-1-0-2
f08,153,96,4,4-4-6-6,374,28613,8730,680ac6e22c351298a16b9286182f6259733ef3096f6ea32e0a0e9754c8dc39d4,0-0-1-1-1-1-0-1-1-1-1-0-1-0-0-2
f09,216,48,4,4-6-6-6,355,25609,7972,1c3c6885fb9ffe1904467452de3fb5e8e83e58a38720e9d9598f77fd0204bb60,0-0-0-2-1-1-1-0-1-1-1-0-1-0-0-2
f10,657,64,4,4-6-6-6,355,25621,7888,e90c789e7fa2aa9c111bcdc9747a6e970eb890ada5d1a56518dda929e94cd042,0-0-1-1-1-1-0-1-1-1-0-1-1-0-1-1
f11,732,32,6,6-6-6-6,334,22502,7129,6a92d450404759081fd4acd9d3324fa45af28d41d758342710e3dc296d0ae160,0-0-0-2-1-1-1-0-1-1-1-0-0-1-1-1
