id,representative,representative_hex,orbit_size,stabilizer_size,status
q00r00-s000,5,005,12,2,UNKNOWN
q00r00-s001,12,00c,6,4,UNKNOWN
q00r00-s002,15,00f,6,4,UNKNOWN
q00r00-s003,17,011,12,2,UNKNOWN
q00r00-s004,23,017,12,2,UNKNOWN
q00r00-s005,29,01d,6,4,UNKNOWN
q00r00-s006,45,02d,12,2,UNKNOWN
q00r00-s007,77,04d,2,12,UNKNOWN
q00r00-s008,80,050,6,4,UNKNOWN
q00r00-s009,83,053,6,4,UNKNOWN
q00r00-s010,85,055,12,2,UNKNOWN
q00r00-s011,96,060,6,4,UNKNOWN
q00r00-s012,101,065,24,1,UNKNOWN
q00r00-s013,108,06c,3,8,UNKNOWN
q00r00-s014,111,06f,3,8,UNKNOWN
q00r00-s015,113,071,12,2,UNKNOWN
q00r00-s016,119,077,12,2,UNKNOWN
q00r00-s017,147,093,6,4,UNKNOWN
q00r00-s018,153,099,12,2,UNKNOWN
q00r00-s019,169,0a9,24,1,UNKNOWN
q00r00-s020,187,0bb,6,4,UNKNOWN
q00r00-s021,225,0e1,24,1,UNKNOWN
q00r00-s022,231,0e7,6,4,UNKNOWN
q00r00-s023,232,0e8,6,4,UNKNOWN
q00r00-s024,235,0eb,6,4,UNKNOWN
q00r00-s025,243,0f3,12,2,UNKNOWN
q00r00-s026,360,168,6,4,UNKNOWN
q00r00-s027,365,16d,6,4,UNKNOWN
q00r00-s028,377,179,24,1,UNKNOWN
q00r00-s029,657,291,2,12,UNKNOWN
q00r00-s030,673,2a1,12,2,UNKNOWN
q00r00-s031,691,2b3,3,8,UNKNOWN
q00r00-s032,739,2e3,3,8,UNKNOWN
q00r00-s033,873,369,6,4,UNKNOWN
q00r00-s034,881,371,12,2,UNKNOWN
q00r00-s035,1388,56c,1,24,UNKNOWN
